,vignette,sender,infotype,recipient,type
0,a smart speaker/baby monitor records its owner's child's heart rate which is sent to its manufacturer,a smart speaker/baby monitor,its owner's child's heart rate,its manufacturer,coppaNull
1,a smart speaker/baby monitor records its owner's child's heart rate which is sent to a third-party service provider,a smart speaker/baby monitor,its owner's child's heart rate,a third-party service provider,coppaNull
2,a smart speaker/baby monitor records its owner's child's frequently asked questions which is sent to its manufacturer,a smart speaker/baby monitor,its owner's child's frequently asked questions,its manufacturer,coppaNull
3,a smart speaker/baby monitor records its owner's child's frequently asked questions which is sent to a third-party service provider,a smart speaker/baby monitor,its owner's child's frequently asked questions,a third-party service provider,coppaNull
4,a smart speaker/baby monitor records the times its owner's child is home which is sent to its manufacturer,a smart speaker/baby monitor,the times its owner's child is home,its manufacturer,coppaNull
5,a smart speaker/baby monitor records the times its owner's child is home which is sent to a third-party service provider,a smart speaker/baby monitor,the times its owner's child is home,a third-party service provider,coppaNull
6,a smart speaker/baby monitor records the times it is used which is sent to its manufacturer,a smart speaker/baby monitor,the times it is used,its manufacturer,coppaNull
7,a smart speaker/baby monitor records the times it is used which is sent to a third-party service provider,a smart speaker/baby monitor,the times it is used,a third-party service provider,coppaNull
8,a smart speaker/baby monitor records its owner's child's frequently traveled routes which is sent to its manufacturer,a smart speaker/baby monitor,its owner's child's frequently traveled routes,its manufacturer,coppaNull
9,a smart speaker/baby monitor records its owner's child's frequently traveled routes which is sent to a third-party service provider,a smart speaker/baby monitor,its owner's child's frequently traveled routes,a third-party service provider,coppaNull
10,a smart speaker/baby monitor records its owner's child's location which is sent to its manufacturer,a smart speaker/baby monitor,its owner's child's location,its manufacturer,coppaNull
11,a smart speaker/baby monitor records its owner's child's location which is sent to a third-party service provider,a smart speaker/baby monitor,its owner's child's location,a third-party service provider,coppaNull
12,a smart speaker/baby monitor records its owner's child's sleeping habits which is sent to its manufacturer,a smart speaker/baby monitor,its owner's child's sleeping habits,its manufacturer,coppaNull
