,vignette,recipient,subject,infotype,source,type
0,"Car Dealership gathers information about all potential car buyers including their marital status which Car Dealership learns by consulting a data broker (i.e., a company that sells data)",Car Dealership,all potential car buyers,their marital status,"consulting a data broker (i.e., a company that sells data)",pubrec
1,"Car Dealership gathers information about all potential car buyers including whether they had a criminal record which Car Dealership learns by consulting a data broker (i.e., a company that sells data)",Car Dealership,all potential car buyers,whether they had a criminal record,"consulting a data broker (i.e., a company that sells data)",pubrec
2,"Car Dealership gathers information about all potential car buyers including whether they voted in the last election which Car Dealership learns by consulting a data broker (i.e., a company that sells data)",Car Dealership,all potential car buyers,whether they voted in the last election,"consulting a data broker (i.e., a company that sells data)",pubrec
3,"Car Dealership gathers information about all potential car buyers including how much they paid for their home which Car Dealership learns by consulting a data broker (i.e., a company that sells data)",Car Dealership,all potential car buyers,how much they paid for their home,"consulting a data broker (i.e., a company that sells data)",pubrec
4,Car Dealership gathers information about all potential car buyers including their marital status which Car Dealership learns by asking them,Car Dealership,all potential car buyers,their marital status,asking them,pubrec
5,Car Dealership gathers information about all potential car buyers including whether they had a criminal record which Car Dealership learns by asking them,Car Dealership,all potential car buyers,whether they had a criminal record,asking them,pubrec
6,Car Dealership gathers information about all potential car buyers including whether they voted in the last election which Car Dealership learns by asking them,Car Dealership,all potential car buyers,whether they voted in the last election,asking them,pubrec
7,Car Dealership gathers information about all potential car buyers including how much they paid for their home which Car Dealership learns by asking them,Car Dealership,all potential car buyers,how much they paid for their home,asking them,pubrec
8,Car Dealership gathers information about all potential car buyers including their marital status which Car Dealership learns by checking online government records,Car Dealership,all potential car buyers,their marital status,checking online government records,pubrec
9,Car Dealership gathers information about all potential car buyers including whether they had a criminal record which Car Dealership learns by checking online government records,Car Dealership,all potential car buyers,whether they had a criminal record,checking online government records,pubrec
10,Car Dealership gathers information about all potential car buyers including whether they voted in the last election which Car Dealership learns by checking online government records,Car Dealership,all potential car buyers,whether they voted in the last election,checking online government records,pubrec
11,Car Dealership gathers information about all potential car buyers including how much they paid for their home which Car Dealership learns by checking online government records,Car Dealership,all potential car buyers,how much they paid for their home,checking online government records,pubrec
12,"Bank's loan officer gathers information about all potential loan applicants including their marital status which Bank's loan officer learns by consulting a data broker (i.e., a company that sells data)",Bank's loan officer,all potential loan applicants,their marital status,"consulting a data broker (i.e., a company that sells data)",pubrec
13,"Bank's loan officer gathers information about all potential loan applicants including whether they had a criminal record which Bank's loan officer learns by consulting a data broker (i.e., a company that sells data)",Bank's loan officer,all potential loan applicants,whether they had a criminal record,"consulting a data broker (i.e., a company that sells data)",pubrec
14,"Bank's loan officer gathers information about all potential loan applicants including whether they voted in the last election which Bank's loan officer learns by consulting a data broker (i.e., a company that sells data)",Bank's loan officer,all potential loan applicants,whether they voted in the last election,"consulting a data broker (i.e., a company that sells data)",pubrec
15,"Bank's loan officer gathers information about all potential loan applicants including how much they paid for their home which Bank's loan officer learns by consulting a data broker (i.e., a company that sells data)",Bank's loan officer,all potential loan applicants,how much they paid for their home,"consulting a data broker (i.e., a company that sells data)",pubrec
16,Bank's loan officer gathers information about all potential loan applicants including their marital status which Bank's loan officer learns by asking them,Bank's loan officer,all potential loan applicants,their marital status,asking them,pubrec
17,Bank's loan officer gathers information about all potential loan applicants including whether they had a criminal record which Bank's loan officer learns by asking them,Bank's loan officer,all potential loan applicants,whether they had a criminal record,asking them,pubrec
18,Bank's loan officer gathers information about all potential loan applicants including whether they voted in the last election which Bank's loan officer learns by asking them,Bank's loan officer,all potential loan applicants,whether they voted in the last election,asking them,pubrec
19,Bank's loan officer gathers information about all potential loan applicants including how much they paid for their home which Bank's loan officer learns by asking them,Bank's loan officer,all potential loan applicants,how much they paid for their home,asking them,pubrec
20,Bank's loan officer gathers information about all potential loan applicants including their marital status which Bank's loan officer learns by checking online government records,Bank's loan officer,all potential loan applicants,their marital status,checking online government records,pubrec
21,Bank's loan officer gathers information about all potential loan applicants including whether they had a criminal record which Bank's loan officer learns by checking online government records,Bank's loan officer,all potential loan applicants,whether they had a criminal record,checking online government records,pubrec
22,Bank's loan officer gathers information about all potential loan applicants including whether they voted in the last election which Bank's loan officer learns by checking online government records,Bank's loan officer,all potential loan applicants,whether they voted in the last election,checking online government records,pubrec
23,Bank's loan officer gathers information about all potential loan applicants including how much they paid for their home which Bank's loan officer learns by checking online government records,Bank's loan officer,all potential loan applicants,how much they paid for their home,checking online government records,pubrec
24,"a curious guest gathers information about the hosts of an upcoming neighborhood party including their marital status which a curious guest learns by consulting a data broker (i.e., a company that sells data)",a curious guest,the hosts of an upcoming neighborhood party,their marital status,"consulting a data broker (i.e., a company that sells data)",pubrec
25,"a curious guest gathers information about the hosts of an upcoming neighborhood party including whether they had a criminal record which a curious guest learns by consulting a data broker (i.e., a company that sells data)",a curious guest,the hosts of an upcoming neighborhood party,whether they had a criminal record,"consulting a data broker (i.e., a company that sells data)",pubrec
26,"a curious guest gathers information about the hosts of an upcoming neighborhood party including whether they voted in the last election which a curious guest learns by consulting a data broker (i.e., a company that sells data)",a curious guest,the hosts of an upcoming neighborhood party,whether they voted in the last election,"consulting a data broker (i.e., a company that sells data)",pubrec
27,"a curious guest gathers information about the hosts of an upcoming neighborhood party including how much they paid for their home which a curious guest learns by consulting a data broker (i.e., a company that sells data)",a curious guest,the hosts of an upcoming neighborhood party,how much they paid for their home,"consulting a data broker (i.e., a company that sells data)",pubrec
28,a curious guest gathers information about the hosts of an upcoming neighborhood party including their marital status which a curious guest learns by asking them,a curious guest,the hosts of an upcoming neighborhood party,their marital status,asking them,pubrec
29,a curious guest gathers information about the hosts of an upcoming neighborhood party including whether they had a criminal record which a curious guest learns by asking them,a curious guest,the hosts of an upcoming neighborhood party,whether they had a criminal record,asking them,pubrec
30,a curious guest gathers information about the hosts of an upcoming neighborhood party including whether they voted in the last election which a curious guest learns by asking them,a curious guest,the hosts of an upcoming neighborhood party,whether they voted in the last election,asking them,pubrec
31,a curious guest gathers information about the hosts of an upcoming neighborhood party including how much they paid for their home which a curious guest learns by asking them,a curious guest,the hosts of an upcoming neighborhood party,how much they paid for their home,asking them,pubrec
32,a curious guest gathers information about the hosts of an upcoming neighborhood party including their marital status which a curious guest learns by checking online government records,a curious guest,the hosts of an upcoming neighborhood party,their marital status,checking online government records,pubrec
