,vignette,membership,space,location1,location2,content,access,distribution,type
0,"Ryan is a New college student On a varsity athletic team. While in the locker room/study room, Ryan heard from a fellow team member talking about Housing decisions for next semester. . The next day, Ryan shared the information with Other members of the team",New,On a varsity athletic team,While in the locker room/study room,heard,Housing decisions for next semester,,Other members of the team,contract
1,"Ryan is a New college student On a varsity athletic team. While in the locker room/study room, Ryan heard from a fellow team member talking about Housing decisions for next semester. . The next day, Ryan shared the information with Other members of the team including the coach",New,On a varsity athletic team,While in the locker room/study room,heard,Housing decisions for next semester,,Other members of the team including the coach,contract
2,"Ryan is a New college student On a varsity athletic team. While in the locker room/study room, Ryan heard from a fellow team member talking about Housing decisions for next semester. . The next day, Ryan shared the information with Other members of the team including the team captains",New,On a varsity athletic team,While in the locker room/study room,heard,Housing decisions for next semester,,Other members of the team including the team captains,contract
3,"Ryan is a New college student On a varsity athletic team. While in the locker room/study room, Ryan heard from a fellow team member talking about Housing decisions for next semester. . The next day, Ryan shared the information with Students not on the team",New,On a varsity athletic team,While in the locker room/study room,heard,Housing decisions for next semester,,Students not on the team,contract
4,"Ryan is a New college student On a varsity athletic team. While in the locker room/study room, Ryan heard from a fellow team member talking about Housing decisions for next semester. Ryan's teammate only shared the information reluctantly after being chided by other students on the team. The next day, Ryan shared the information with Other members of the team",New,On a varsity athletic team,While in the locker room/study room,heard,Housing decisions for next semester,Ryan's teammate only shared the information reluctantly after being chided by other students on the team,Other members of the team,contract
5,"Ryan is a New college student On a varsity athletic team. While in the locker room/study room, Ryan heard from a fellow team member talking about Housing decisions for next semester. Ryan's teammate only shared the information reluctantly after being chided by other students on the team. The next day, Ryan shared the information with Other members of the team including the coach",New,On a varsity athletic team,While in the locker room/study room,heard,Housing decisions for next semester,Ryan's teammate only shared the information reluctantly after being chided by other students on the team,Other members of the team including the coach,contract
6,"Ryan is a New college student On a varsity athletic team. While in the locker room/study room, Ryan heard from a fellow team member talking about Housing decisions for next semester. Ryan's teammate only shared the information reluctantly after being chided by other students on the team. The next day, Ryan shared the information with Other members of the team including the team captains",New,On a varsity athletic team,While in the locker room/study room,heard,Housing decisions for next semester,Ryan's teammate only shared the information reluctantly after being chided by other students on the team,Other members of the team including the team captains,contract
7,"Ryan is a New college student On a varsity athletic team. While in the locker room/study room, Ryan heard from a fellow team member talking about Housing decisions for next semester. Ryan's teammate only shared the information reluctantly after being chided by other students on the team. The next day, Ryan shared the information with Students not on the team",New,On a varsity athletic team,While in the locker room/study room,heard,Housing decisions for next semester,Ryan's teammate only shared the information reluctantly after being chided by other students on the team,Students not on the team,contract
8,"Ryan is a New college student On a varsity athletic team. While in the locker room/study room, Ryan heard from a fellow team member talking about Housing decisions for next semester. Ryan was not sure that his teammate realized that he heard/received the information. The next day, Ryan shared the information with Other members of the team",New,On a varsity athletic team,While in the locker room/study room,heard,Housing decisions for next semester,Ryan was not sure that his teammate realized that he heard/received the information,Other members of the team,contract
9,"Ryan is a New college student On a varsity athletic team. While in the locker room/study room, Ryan heard from a fellow team member talking about Housing decisions for next semester. Ryan was not sure that his teammate realized that he heard/received the information. The next day, Ryan shared the information with Other members of the team including the coach",New,On a varsity athletic team,While in the locker room/study room,heard,Housing decisions for next semester,Ryan was not sure that his teammate realized that he heard/received the information,Other members of the team including the coach,contract
